"H40-BPAR-6","CASEID","FAM-1B","FAM-2A","HGC-MOTHER","HGC-FATHER","FAM-28A","R_REL-1_COL","R_REL-3","Q9-72","Q3-3","Q3-4","MIL-6","Q13-5","SAMPLE_ID","SAMPLE_RACE","SAMPLE_SEX","URBAN-RURAL","MARSTAT-KEY","FAMSIZE","TNFI_TRUNC","POVSTATUS","DELIN-1","DELIN-3","DELIN-4","DELIN-5","DELIN-6","DELIN-7","DELIN-8","DELIN-9","DELIN-10","DELIN-11","DELIN-12","DELIN-13","DELIN-14","DELIN-15","DELIN-18","POLICE-1","POLICE-6","POLICE-7","Q12-4","DRUG-22","DRUG-26","DRUG-32"
1,67,21,1,-3,18,1,9,2,0,15,14,0,4000,1,3,1,1,0,4,35000,0,-4,-4,1,0,0,3,0,0,0,0,5,1,0,0,0,1,0,0,3,1,0,0
1,68,16,1,16,17,1,9,4,0,11,10,-4,-4,5,3,2,1,0,4,40000,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,0,0
1,69,14,1,17,16,1,7,5,0,9,8,-4,-4,1,3,1,1,0,4,40000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,0,0
1,70,17,1,20,16,1,7,5,0,12,11,0,-4,1,3,1,1,0,4,-3,-3,-4,-4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,-4,-4,1,0,0,0
-4,71,15,1,17,16,1,7,5,0,10,9,-4,-4,1,3,1,1,0,3,-2,-3,0,5,2,0,0,3,0,0,0,0,1,3,0,0,0,0,-4,-4,1,0,0,0
1,72,19,1,14,16,2,3,2,0,14,13,0,1800,5,3,2,1,0,3,-1,-3,-4,-4,0,0,3,0,0,0,1,0,6,5,5,4,0,1,0,0,6,1,0,0
1,73,15,1,16,16,2,3,4,0,9,8,-4,600,1,3,1,1,0,4,25000,0,0,4,0,0,0,0,0,0,0,0,5,2,0,0,0,1,0,0,5,0,0,0
-4,74,19,1,15,16,3,9,1,0,14,13,0,2600,5,3,2,1,0,1,-2,-3,-4,-4,4,0,5,0,0,0,1,0,6,5,5,0,0,1,0,0,1,1,0,0
1,75,17,1,14,16,3,9,5,0,11,10,0,-4,5,3,2,1,0,5,-1,-3,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,0,0
1,76,15,1,16,16,3,9,5,0,9,8,-4,-4,1,3,1,1,0,5,-2,-3,0,6,3,4,0,0,0,0,5,2,2,0,0,0,0,1,0,0,6,1,0,0
1,77,14,1,16,16,1,1,1,0,9,8,-4,-4,5,3,2,1,0,4,-1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,1,0,0,0
